# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:P'
# Event count (approx.): 62066647788
#
# Overhead  Command  Shared Object                                                      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  .......  .................................................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  duckdb   duckdb                                                             [.] std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release_last_use_cold()
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::CreateStandardVector(duckdb::LogicalType const&, unsigned long)
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_edata_avail_first
     0.01%  duckdb   duckdb                                                             [.] void duckdb::UnifiedVectorFormat::VerifyVectorType<unsigned long>() const
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __cgroup_account_cputime_field
     0.01%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::SelectionData, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sched_balance_rq
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_extent_commit_zero
     0.01%  duckdb   duckdb                                                             [.] std::vector<duckdb::BufferHandle, std::allocator<duckdb::BufferHandle> >::_M_default_append(unsigned long)
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] operator delete(void*)@plt
     0.01%  duckdb   duckdb                                                             [.] duckdb::optional_ptr<duckdb::ConfigurationOption const, true>::CheckValid() const [clone .isra.0]
     0.01%  duckdb   duckdb                                                             [.] duckdb::vector<std::reference_wrapper<duckdb::PhysicalOperator>, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataSegment::TupleDataSegment(duckdb::shared_ptr<duckdb::TupleDataAllocator, true>)
     0.01%  duckdb   duckdb                                                             [.] duckdb::string_t::string_t(char const*, unsigned int)
     0.01%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::Abandon()
     0.01%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::ProducerToken, std::default_delete<duckdb::ProducerToken>, true>::AssertNotNull(bool)
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_large_dalloc
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] bpf_probe_read_kernel
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::Verify(duckdb::Vector&, duckdb::SelectionVector const&, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::Vector, true>::AssertIndexInBounds(unsigned long, unsigned long) [clone .constprop.0]
     0.01%  duckdb   duckdb                                                             [.] duckdb::ColumnData::Filter(duckdb::TransactionData, unsigned long, duckdb::ColumnScanState&, duckdb::Vector&, duckdb::SelectionVector&, unsigned long&, duckdb::TableFilter const&, duckdb::TableFilterState&)
     0.01%  duckdb   duckdb                                                             [.] void duckdb::BitpackingScan<long>(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] do_syscall_64
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] kmalloc_reserve
     0.01%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::VectorBuffer, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_peak_alloc_event_handler
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sched_update_worker
     0.01%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::Executor, std::default_delete<duckdb::Executor>, true>::AssertNotNull(bool)
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::FinalizePinState(duckdb::TupleDataPinState&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] raise_softirq
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] rseq_update_cpu_node_id
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] d_namespace_path.constprop.0
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] folio_mark_accessed
     0.01%  duckdb   duckdb                                                             [.] duckdb::StringUtil::CIEquals(char const*, unsigned long, char const*, unsigned long)
     0.01%  duckdb   duckdb                                                             [.] duckdb::DefaultCasts::GetDefaultCastFunction(duckdb::BindCastInput&, duckdb::LogicalType const&, duckdb::LogicalType const&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] apparmor_current_getlsmprop_subj
     0.01%  duckdb   duckdb                                                             [.] std::_Hashtable<unsigned int*, std::pair<unsigned int* const, duckdb::shared_ptr<duckdb::VectorBuffer, true> >, std::allocator<std::pair<unsigned int* const, duckdb::shared_ptr<duckdb::VectorBuffer, true> > >, std::__detail::_Select1st, std::equal_to<unsigned int*>, std::hash<unsigned int*>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_rehash(unsigned long, unsigned long const&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::DBConfig::GetSettingInternal(duckdb::DBConfig const&, char const*, char const*)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] update_dl_rq_load_avg
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] bio_first_folio
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] pfn_pte
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __vm_enough_memory
     0.01%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::SegmentScanState, std::default_delete<duckdb::SegmentScanState>, true>::AssertNotNull(bool)
     0.01%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::TemplatedValidityData<unsigned char>, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
     0.01%  duckdb   libstdc++.so.6.0.33                                                [.] std::_Rb_tree_increment(std::_Rb_tree_node_base const*)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] mprotect_fixup
     0.01%  duckdb   libc.so.6                                                          [.] tolower
     0.01%  duckdb   duckdb                                                             [.] duckdb::ColumnData::InitializeColumn(duckdb::PersistentColumnData&, duckdb::BaseStatistics&)
     0.01%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::DeleteTemporaryFile(duckdb::BlockHandle&)
     0.01%  duckdb   duckdb                                                             [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&) [clone .isra.0]
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] irq_exit_rcu
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __note_gp_changes
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] kprobe_perf_func
     0.01%  duckdb   duckdb                                                             [.] duckdb::VectorOperations::TryCast(duckdb::CastFunctionSet&, duckdb::GetCastFunctionInput&, duckdb::Vector&, duckdb::Vector&, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, bool, bool)
     0.01%  duckdb   duckdb                                                             [.] duckdb::Value::CastAs(duckdb::CastFunctionSet&, duckdb::GetCastFunctionInput&, duckdb::LogicalType const&, bool) const
     0.01%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::ChunkCount() const
     0.01%  duckdb   duckdb                                                             [.] duckdb_je_emap_try_acquire_edata_neighbor
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] change_pud_range.isra.0
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] nvme_unmap_data
     0.01%  duckdb   duckdb                                                             [.] duckdb::TransactionData::TransactionData(duckdb::DuckTransaction&)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] security_file_mprotect
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] p4d_offset
     0.01%  duckdb   duckdb                                                             [.] duckdb::StandardBufferManager::RegisterMemory(duckdb::MemoryTag, unsigned long, unsigned long, bool)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] sysvec_call_function
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __vmf_anon_prepare
     0.01%  duckdb   duckdb                                                             [.] duckdb::Vector::Vector(duckdb::LogicalType, unsigned long)
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] visit_groups_merge.constprop.0.isra.0
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] __aa_label_next_not_in_set
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] dma_pool_free
     0.01%  duckdb   [kernel.kallsyms]                                                  [k] run_posix_cpu_timers
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aa_get_buffer
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __remove_hrtimer
     0.00%  duckdb   duckdb                                                             [.] duckdb::PhysicalProjection::Execute(duckdb::ExecutionContext&, duckdb::DataChunk&, duckdb::DataChunk&, duckdb::GlobalOperatorState&, duckdb::OperatorState&) const
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataChunkIterator::TupleDataChunkIterator(duckdb::TupleDataCollection&, duckdb::TupleDataPinProperties, unsigned long, unsigned long, bool)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BaseStatistics::BaseStatistics(duckdb::BaseStatistics&&)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_base_alloc_edata
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __pick_next_task
     0.00%  duckdb   duckdb                                                             [.] duckdb::DBConfig::ParseLogicalType(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] ctx_sched_in
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] event_sched_in
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] skb_queue_tail
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::FinalizePinState(duckdb::TupleDataPinState&, duckdb::TupleDataSegment&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] entry_SYSCALL_64
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_ibs_start
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_store_prealloc
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __flush_smp_call_function_queue
     0.00%  duckdb   libc.so.6                                                          [.] _int_free_maybe_consolidate
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] down_write
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __perf_event_task_sched_out
     0.00%  duckdb   duckdb                                                             [.] void duckdb::UnifiedVectorFormat::VerifyVectorType<unsigned char>() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vma_complete
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] bio_free
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] nvme_irq
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mempool_free_slab
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] iommu_dma_sync_sg_for_cpu
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::InitializeChunkState(duckdb::TupleDataChunkState&, duckdb::vector<duckdb::LogicalType, true> const&, duckdb::vector<unsigned long, true>)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] from_kuid
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] pud_val
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] sized_strscpy
     0.00%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::Combine(duckdb::TupleDataCollection&, duckdb::optional_ptr<std::atomic<double>, true>)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] change_pte_range
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::VectorStringBuffer, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_wr_store_type
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataChunk::TupleDataChunk()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] page_counter_uncharge
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __tlb_remove_folio_pages_size.isra.0
     0.00%  duckdb   duckdb                                                             [.] duckdb::DatabaseInstance::GetDatabase(duckdb::ClientContext&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::RadixPartitionedTupleData::Initialize()
     0.00%  duckdb   duckdb                                                             [.] void duckdb::UnifiedVectorFormat::VerifyVectorType<duckdb::string_t>() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::ActiveQueryContext, std::default_delete<duckdb::ActiveQueryContext>, true>::AssertNotNull(bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] syscall_return_via_sysret
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::Scan(duckdb::TupleDataScanState&, duckdb::DataChunk&)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_peak_alloc_new_event_wait
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::GroupedAggregateHashTable, std::default_delete<duckdb::GroupedAggregateHashTable>, true>::AssertNotNull(bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vm_normal_page
     0.00%  duckdb   duckdb                                                             [.] duckdb::CollectionScanState::Scan(duckdb::DuckTransaction&, duckdb::DataChunk&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __update_idle_core
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] futex_wait
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] account_system_index_time
     0.00%  duckdb   duckdb                                                             [.] duckdb::VectorBuffer::CreateConstantVector(duckdb::LogicalType const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_forward
     0.00%  duckdb   duckdb                                                             [.] duckdb::MetadataReader::ReadData(duckdb::QueryContext, unsigned char*, unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::SingleFileBlockManager::CreateBlock(long, duckdb::FileBuffer*)
     0.00%  duckdb   duckdb                                                             [.] duckdb::LogicalType::HasAlias() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::FSSTScanState::~FSSTScanState()
     0.00%  duckdb   duckdb                                                             [.] duckdb::BindCastFunction::BindCastFunction(duckdb::BoundCastInfo (*)(duckdb::BindCastInput&, duckdb::LogicalType const&, duckdb::LogicalType const&), duckdb::unique_ptr<duckdb::BindCastInfo, std::default_delete<duckdb::BindCastInfo>, true>)
     0.00%  duckdb   duckdb                                                             [.] duckdb::StringVector::AddStringOrBlob(duckdb::Vector&, duckdb::string_t)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BoundAggregateExpression& duckdb::BaseExpression::Cast<duckdb::BoundAggregateExpression>()
     0.00%  duckdb   duckdb                                                             [.] duckdb::ClientBufferManager::Allocate(duckdb::MemoryTag, unsigned long, bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_get_tty
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] pte_val
     0.00%  duckdb   duckdb                                                             [.] duckdb::ScanFilterInfo::ColumnHasFilters(unsigned long)
     0.00%  duckdb   duckdb                                                             [.] duckdb::StringUtil::StartsWith(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::ScanAtIndex(duckdb::TupleDataPinState&, duckdb::TupleDataChunkState&, duckdb::vector<unsigned long, true> const&, unsigned long, unsigned long, duckdb::DataChunk&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] perf_event_mmap_event
     0.00%  duckdb   duckdb                                                             [.] duckdb::GroupedAggregateHashTable::FindOrCreateGroups(duckdb::DataChunk&, duckdb::Vector&, duckdb::Vector&, duckdb::SelectionVector&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BlockManager::RegisterBlock(long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] _raw_spin_unlock_irqrestore
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::LocalSinkState, std::default_delete<duckdb::LocalSinkState>, true>::AssertNotNull(bool)
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::ConcurrentQueue, std::default_delete<duckdb::ConcurrentQueue>, true>::AssertNotNull(bool)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_arena_slab_dalloc
     0.00%  duckdb   duckdb                                                             [.] void std::vector<duckdb::TupleDataPinState, std::allocator<duckdb::TupleDataPinState> >::_M_realloc_insert<>(__gnu_cxx::__normal_iterator<duckdb::TupleDataPinState*, std::vector<duckdb::TupleDataPinState, std::allocator<duckdb::TupleDataPinState> > >)
     0.00%  duckdb   duckdb                                                             [.] duckdb::StringHeap::StringHeap(duckdb::Allocator&)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_tcache_bin_flush_large
     0.00%  duckdb   duckdb                                                             [.] duckdb::EvictionQueue::AddToEvictionQueue(duckdb::BufferEvictionNode&&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::ExpressionExecutor::Execute(duckdb::BoundConstantExpression const&, duckdb::ExpressionState*, duckdb::SelectionVector const*, unsigned long, duckdb::Vector&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::RadixHTLocalSourceState::Scan(duckdb::RadixHTGlobalSinkState&, duckdb::RadixHTGlobalSourceState&, duckdb::DataChunk&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] sched_balance_trigger
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] rcu_cblist_dequeue
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::BOOLEAN(bool)
     0.00%  duckdb   duckdb                                                             [.] std::vector<duckdb::TupleDataGatherFunction, std::allocator<duckdb::TupleDataGatherFunction> >::~vector()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __x64_sys_pread64
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __refill_stock
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataChunk::MergeLastChunkPart(duckdb::TupleDataSegment&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::optional_ptr<duckdb::LocalTableFunctionState, true>::CheckValid() const [clone .isra.0]
     0.00%  duckdb   duckdb                                                             [.] duckdb::ColumnData::ScanVector(duckdb::TransactionData, unsigned long, duckdb::ColumnScanState&, duckdb::Vector&, unsigned long, duckdb::ScanVectorType, duckdb::ScanVectorMode)
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_ecache_dalloc
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::operator=(duckdb::Value&&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::ColumnData::Scan(duckdb::TransactionData, unsigned long, duckdb::ColumnScanState&, duckdb::Vector&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataSegment::Unpin()
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_edata_cache_put
     0.00%  duckdb   duckdb                                                             [.] duckdb::MetadataManager::FromDiskPointer(duckdb::MetaBlockPointer)
     0.00%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::Hash(duckdb::DataChunk&, duckdb::SelectionVector const&, unsigned long, duckdb::Vector&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __slab_free
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] crypt_free_buffer_pages
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] amd_iommu_unmap_pages
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataLayout::IsSortKeyLayout() const
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_find
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] lruvec_stat_mod_folio
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::Combine(duckdb::TupleDataCollection&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::TempBufferPoolReservation duckdb::StandardBufferManager::EvictBlocksOrThrow<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(duckdb::MemoryTag, unsigned long, duckdb::unique_ptr<duckdb::FileBuffer, std::default_delete<duckdb::FileBuffer>, true>*, char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::~Value()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] should_we_balance
     0.00%  duckdb   duckdb                                                             [.] std::_Sp_counted_ptr_inplace<duckdb::SelectionData, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] hrtimer_run_queues
     0.00%  duckdb   duckdb                                                             [.] duckdb::vector<duckdb::StorageIndex, true>::AssertIndexInBounds(unsigned long, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] native_apic_mem_eoi
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] update_vdso_data
     0.00%  duckdb   bpf_prog_1dc4155399fafb5d_cf_security_file_permission_fentry_1811  [k] bpf_prog_1dc4155399fafb5d_cf_security_file_permission_fentry_1811
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] dput
     0.00%  duckdb   duckdb                                                             [.] pthread_mutex_trylock@plt
     0.00%  duckdb   duckdb                                                             [.] duckdb::VectorStringBuffer::VectorStringBuffer(duckdb::Allocator&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::StringStats::Merge(duckdb::BaseStatistics&, duckdb::BaseStatistics const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __build_skb_around
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vm_stat_account
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] should_flush_tlb
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] fetch_pte
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_n_hex
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __fsnotify_parent
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mod_objcg_state
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __aa_path_perm
     0.00%  duckdb   duckdb                                                             [.] arena_slab_alloc
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::FileHandle, std::default_delete<duckdb::FileHandle>, true>::AssertNotNull(bool)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] propagate_protected_usage
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __mmap_region
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] timekeeping_advance
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __put_user_8
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_ehooks_default_split_impl
     0.00%  duckdb   duckdb                                                             [.] duckdb::unique_ptr<duckdb::GlobalSinkState, std::default_delete<duckdb::GlobalSinkState>, true>::AssertNotNull(bool)
     0.00%  duckdb   duckdb                                                             [.] duckdb::BufferPool::AddToEvictionQueue(duckdb::shared_ptr<duckdb::BlockHandle, true>&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] folio_lruvec_lock_irqsave
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] psi_task_change
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataAllocator::DestroyRowBlocks(unsigned long, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] nvme_poll_cq
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] vma_modify_flags
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] invoke_rcu_core
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] change_protection
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mem_cgroup_wb_domain
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aa_label_asxprint
     0.00%  duckdb   duckdb                                                             [.] duckdb::JoinHashTable::ScanStructure::GatherResult(duckdb::Vector&, unsigned long, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aggr_pre_handler
     0.00%  duckdb   duckdb                                                             [.] void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag) [clone .isra.0]
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] __kmalloc_cache_noprof
     0.00%  duckdb   duckdb                                                             [.] duckdb::SingleFileBlockManager::Read(duckdb::QueryContext, duckdb::Block&)
     0.00%  duckdb   duckdb                                                             [.] duckdb::Value::Value(char const*)
     0.00%  duckdb   duckdb                                                             [.] duckdb::TemporaryMemoryState::GetReservation() const
     0.00%  duckdb   duckdb                                                             [.] duckdb::BlockHandle::BlockHandle(duckdb::BlockManager&, long, duckdb::MemoryTag)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] can_vma_merge_after.constprop.0
     0.00%  duckdb   duckdb                                                             [.] duckdb_je_ecache_alloc_grow
     0.00%  duckdb   duckdb                                                             [.] duckdb::CastFunctionSet::GetCastFunction(duckdb::LogicalType const&, duckdb::LogicalType const&, duckdb::GetCastFunctionInput&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] btrfs_orig_write_end_io
     0.00%  duckdb   duckdb                                                             [.] duckdb::Vector::GetValue(duckdb::Vector const&, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] blk_mq_free_request
     0.00%  duckdb   duckdb                                                             [.] duckdb::ClientContext::IsActiveResult(duckdb::ClientContextLock&, duckdb::BaseQueryResult&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aa_file_perm
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] kmem_cache_free
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] timekeeping_adjust.constprop.0
     0.00%  duckdb   duckdb                                                             [.] duckdb::FileHandle::OnDiskFile()
     0.00%  duckdb   duckdb                                                             [.] duckdb::ConstantScanPartialValidity(duckdb::ColumnSegment&, duckdb::ColumnScanState&, unsigned long, duckdb::Vector&, unsigned long)
     0.00%  duckdb   libc.so.6                                                          [.] alloc_perturb
     0.00%  duckdb   libstdc++.so.6.0.33                                                [.] std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const@plt
     0.00%  duckdb   duckdb                                                             [.] duckdb::TupleDataCollection::GetGatherFunction(duckdb::LogicalType const&)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] nohz_balance_exit_idle
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] aa_put_buffer
     0.00%  duckdb   duckdb                                                             [.] duckdb::PartitionedTupleData::Append(duckdb::PartitionedTupleDataAppendState&, duckdb::TupleDataChunkState&, unsigned long)
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_end.part.0
     0.00%  duckdb   duckdb                                                             [.] duckdb::BoundCastInfo::BoundCastInfo(bool (*)(duckdb::Vector&, duckdb::Vector&, unsigned long, duckdb::CastParameters&), duckdb::unique_ptr<duckdb::BoundCastData, std::default_delete<duckdb::BoundCastData>, true>, duckdb::unique_ptr<duckdb::FunctionLocalState, std::default_delete<duckdb::FunctionLocalState>, true> (*)(duckdb::CastLocalStateParameters&))
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] mas_prev
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] timekeeping_update_from_shadow.constprop.0
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] audit_log_key
     0.00%  duckdb   [kernel.kallsyms]                                                  [k] common_interrupt
     0.00%  duckdb   duckdb                                                             [.] duckdb::AdaptiveFilter::EndFilter(duckdb::AdaptiveFilterState)
